d,0_mean,0_std,1_mean,1_std
0,1.0,3.8862228005311534,0.0,0.1040714804619906
1,1.0,3.2872542923323413,0.0,0.1023718451472541
2,1.0,2.8067630714695584,0.0,0.09838622820883607
3,1.0,2.569808496797501,0.0,0.09547384926076187
4,1.0,2.3657642797187846,0.0,0.09240722085145656
5,1.0,1.9971682746733623,0.0,0.08536517924698812
6,1.0,1.5166770538105796,0.0,0.07243838097923141
7,1.0,1.2336479785078442,0.0,0.06188407495869078
8,1.0,0.9769471892797824,0.0,0.04904372114358785
9,1.0,0.6675898279023745,0.0,0.022663745892806383
