d,mean_0,mean_1,std_0,std_1
0,1.0,3.877527884054995,0.0,0.0032910350811108284
1,1.0,3.224448165901209,0.0,0.0032251572170143334
2,1.0,2.89196798727872,0.0,0.0031393341530413866
3,1.0,2.560244746880876,0.0,0.0030149810300482706
4,1.0,2.2317796318847734,0.0,0.0028487664301920274
5,1.0,1.9036633666791607,0.0,0.0026318111316662165
6,1.0,1.5803454316106575,0.0,0.0023546034707699333
7,1.0,1.243481593356735,0.0,0.001970172931677495
8,1.0,0.9183470065490794,0.0,0.0014358467392151558
9,1.0,0.6532935685638268,0.0,0.0006493076077490951
